iter	Passed	Remaining
0	142	142408
1	144	72301
2	146	48850
3	149	37186
4	151	30149
5	153	25398
6	155	22045
7	157	19503
8	158	17503
9	160	15893
10	162	14579
11	163	13496
12	165	12557
13	166	11746
14	167	11031
15	169	10407
16	169	9829
17	170	9312
18	171	8848
19	171	8427
20	172	8052
21	173	7706
22	173	7390
23	174	7100
24	175	6834
25	175	6589
26	176	6361
27	177	6152
28	177	5955
29	178	5772
30	179	5602
31	179	5442
32	180	5295
33	181	5159
34	182	5026
35	183	4908
36	183	4787
37	184	4673
38	185	4568
39	186	4467
40	186	4368
41	187	4279
42	188	4195
43	189	4113
44	190	4033
45	190	3958
46	191	3885
47	192	3813
48	192	3744
49	193	3678
50	194	3613
51	194	3551
52	195	3491
53	196	3435
54	196	3379
55	197	3325
56	197	3274
57	198	3225
58	199	3178
59	199	3132
60	200	3088
61	201	3044
62	201	3002
63	202	2960
64	203	2921
65	203	2882
66	204	2845
67	204	2804
68	205	2769
69	205	2735
70	206	2702
71	207	2669
72	207	2637
73	208	2606
74	208	2576
75	209	2549
76	210	2520
77	210	2492
78	211	2465
79	212	2439
80	212	2413
81	213	2388
82	213	2364
83	214	2340
84	215	2316
85	215	2294
86	216	2269
87	217	2249
88	217	2228
89	218	2208
90	219	2187
91	219	2168
92	220	2148
93	220	2129
94	221	2110
95	222	2091
96	222	2073
97	223	2055
98	223	2037
99	224	2020
100	225	2004
101	225	1985
102	226	1969
103	226	1954
104	227	1938
105	228	1923
106	228	1908
107	229	1893
108	229	1879
109	230	1865
110	231	1851
111	231	1837
112	232	1824
113	233	1811
114	233	1798
115	234	1784
116	234	1772
117	235	1759
118	235	1746
119	236	1734
120	237	1722
121	237	1710
122	238	1697
123	238	1685
124	239	1674
125	239	1663
126	240	1652
127	240	1640
128	241	1630
129	242	1619
130	242	1609
131	243	1599
132	243	1589
133	244	1581
134	245	1571
135	246	1563
136	246	1554
137	247	1544
138	247	1535
139	248	1526
140	249	1517
141	249	1508
142	250	1499
143	250	1491
144	251	1483
145	252	1476
146	253	1469
147	253	1462
148	254	1454
149	255	1447
150	256	1440
151	256	1432
152	257	1424
153	257	1417
154	258	1409
155	259	1402
156	259	1394
157	260	1387
158	260	1380
159	261	1373
160	262	1366
161	262	1359
162	263	1353
163	264	1346
164	264	1340
165	265	1334
166	266	1327
167	266	1320
168	267	1314
169	267	1307
170	268	1301
171	269	1295
172	269	1289
173	270	1283
174	270	1277
175	271	1271
176	272	1265
177	272	1259
178	273	1253
179	273	1248
